demand_id,origin,destination,volume,availability_time,due_date,priority,urgency
D1,E,A,19,69.74282361138623,92.65955796276646,5,low
D2,D,E,97,3.1159073690424672,31.077530280138983,1,medium
D3,C,E,57,44.59675520528152,81.57256105192019,1,low
D4,E,D,98,10.857641768510623,47.17364012724793,3,high
D5,B,D,57,61.540899961022994,74.65772410467193,5,low
D6,D,A,77,14.21318247206324,33.58003364968784,5,high
D7,A,D,93,72.63651275487129,102.71704849543096,5,medium
D8,A,B,38,40.479973684955816,70.82844916885209,2,medium
D9,D,E,70,88.69468516445632,102.40216197563257,3,high
D10,A,D,26,77.79396045672925,100.68999291052069,3,medium
D11,D,C,40,93.81670455116765,113.93100861677044,1,low
D12,D,C,96,98.86561090459048,118.6919165685898,4,high
D13,C,D,99,97.95188079775909,126.47970145724031,3,medium
D14,C,B,30,54.691026739484805,89.65014518750586,5,low
D15,C,B,80,51.37438913993343,66.95080422688743,2,high
D16,C,E,48,14.239487565267899,35.58929227180919,1,medium
D17,A,B,24,59.16767078462618,71.92662217507294,4,medium
D18,E,D,65,91.71327473512147,126.37756910547466,4,low
D19,B,A,21,1.3595454516938221,18.056224362998314,1,high
D20,E,B,97,84.75944334210125,107.72069155389704,4,high
D21,B,A,68,77.48059475999028,90.75085872689732,3,medium
D22,A,E,18,66.2522318889368,92.57685141844887,5,high
D23,A,E,30,31.381284913674687,42.31876859584257,2,high
D24,E,D,41,74.3185337787724,106.21637146635412,2,high
D25,C,E,59,27.77950664356856,67.98738910827308,5,low
D26,C,D,69,48.12611481236186,86.22688066155517,2,medium
D27,B,C,89,80.57046182157684,103.16059527347029,4,medium
D28,E,D,90,65.52182770707208,76.06672752340786,3,medium
D29,E,D,20,14.048769469190669,47.34354187867735,4,low
D30,E,B,46,34.09013752962054,46.454737897802715,4,medium
