demand_id,origin,destination,volume,availability_time,due_date,priority,urgency
D1,F,A,77,130.78046049725623,175.07488743946226,2,low
D2,A,C,78,69.50028467840436,91.84926734337145,4,high
D3,C,F,31,23.499177763250664,43.617024386925216,3,medium
D4,C,E,48,101.37404139637376,127.59984969364233,1,medium
D5,C,B,33,2.1908840614005,59.417134883723236,3,medium
D6,A,B,62,119.6262466738443,176.83418583077176,1,medium
D7,B,F,73,105.79939124034944,136.24102688392364,2,high
D8,B,A,71,93.51391279928058,104.56821551456304,4,high
D9,F,A,18,86.40935461422444,101.2820469125296,2,low
D10,A,E,18,103.89954802723764,149.8967540283293,3,medium
D11,D,C,55,123.1589931715316,170.22710742869515,3,high
D12,D,B,95,61.95249548487524,120.59697852488893,1,high
D13,F,C,79,100.39068961984054,142.2933781967365,1,high
D14,F,E,26,42.63993413645453,88.54154031761037,5,high
D15,E,A,48,57.0550919665059,74.93280512447816,4,high
D16,E,D,56,43.363251181055745,71.37338199192577,4,low
D17,B,A,21,33.10618466250709,83.71160063460115,3,medium
D18,D,E,78,24.69569866314586,56.56242431169021,3,high
D19,F,A,73,106.43157147313974,148.09602632351107,1,medium
D20,A,C,52,100.39867917827647,158.6370252938149,4,low
D21,A,D,26,91.04424476488786,121.45365606561265,5,high
D22,B,F,79,73.13147267910188,114.45099431835135,4,medium
D23,D,A,74,89.9819974975424,117.11767769276584,2,medium
D24,D,A,91,70.53168022947034,89.22818791462726,1,high
D25,C,F,58,12.900116666503331,37.85552140535914,4,high
D26,E,F,60,130.68450887452303,140.97921666684687,3,medium
D27,C,D,55,96.7267357115489,107.66482825530066,4,high
D28,E,B,97,37.78724062781014,75.04685375770497,3,medium
D29,D,C,72,91.92883880813778,127.96230348873368,4,low
D30,B,A,96,4.352493304213141,28.748003097360556,4,high
D31,B,D,62,43.952971317586076,54.72786874555507,1,high
D32,B,A,45,71.32941740565074,118.8480581973374,3,low
D33,C,F,83,111.82244542063543,170.43950221667873,5,medium
D34,C,E,68,84.94323251814454,123.59155210222889,5,low
D35,B,F,75,2.2111977383035653,37.04404312256021,3,high
D36,A,B,56,11.653038573776037,67.45479370363174,1,high
D37,D,B,40,85.34575011155675,103.49161915827493,3,high
D38,F,B,15,45.87493670469055,80.26701507805798,2,low
D39,C,B,98,59.49868723218032,77.34222853847542,3,medium
D40,A,F,31,17.74977354034117,32.569356621632636,5,medium
D41,E,D,12,122.56316117524193,172.37168780109423,2,medium
D42,E,B,43,13.439405692514745,56.59645828601052,4,low
D43,A,D,16,14.567912386342396,56.539297215529544,4,high
D44,C,A,18,52.11223070632588,90.3831686710163,5,high
D45,E,A,19,83.67597514001602,133.2010366417068,4,medium
D46,C,A,15,43.36534768174151,74.66151853528038,4,low
D47,B,C,57,112.69097212983375,165.76798195880968,3,low
D48,E,C,35,79.11137027892501,96.4669441550785,3,high
D49,E,F,55,42.52241975346555,59.46981936935958,1,high
D50,E,B,87,70.5277359853796,122.13345166118204,5,medium
