origin,destination,distance,travel_time
A,B,25.831060843025455,1.7220707228683636
A,C,87.44558702949104,5.829705801966069
A,D,24.15934832496187,1.6106232216641245
A,E,52.09488132992949,3.4729920886619663
A,F,43.37310523502622,2.8915403490017484
B,A,80.09243082179347,5.339495388119564
B,C,28.82570348091957,1.921713565394638
B,D,56.76118087658152,3.784078725105435
B,E,39.165049729115104,2.61100331527434
B,F,36.198358850095474,2.4132239233396984
C,A,81.1602725909682,5.41068483939788
C,B,95.73728800801024,6.382485867200683
C,D,30.155073975182106,2.01033826501214
C,E,98.83301877302902,6.588867918201935
C,F,80.6617950528407,5.377453003522714
D,A,57.40304912155872,3.826869941437248
D,B,43.214111061581846,2.88094073743879
D,C,43.25961650534563,2.883974433689709
D,E,90.46359478434422,6.030906318956282
D,F,35.63075474737264,2.3753836498248426
E,A,22.10608615758283,1.4737390771721885
E,B,63.07657051077818,4.205104700718546
E,C,30.25919141576058,2.017279427717372
E,D,60.7083841506934,4.047225610046227
E,F,38.552592161974495,2.5701728107982995
F,A,74.93669999426857,4.995779999617905
F,B,82.8209747388859,5.521398315925726
F,C,90.59399522009802,6.039599681339868
F,D,10.172948549547776,0.6781965699698518
F,E,34.96320453647793,2.3308803024318623
